"","NUME","CMR","Data","Temp"
"324","Iezer","TransilvaniaN","X1963.01.01",3.02805471420288
"325","Suceava","Moldova","X1963.01.01",7.31854772567749
"326","Baia Mare","TransilvaniaN","X1963.01.01",8.24874019622803
"327","Botosani","Moldova","X1963.01.01",8.47221946716309
"328","Satu Mare","TransilvaniaN","X1963.01.01",9.56567096710205
"329","Radauti","Moldova","X1963.01.01",6.69821929931641
"330","Sighetul Marmatiei","TransilvaniaN","X1963.01.01",7.67863035202026
"331","Zimnicea","Muntenia","X1964.01.01",10.9457807540894
"332","Turnu Magurele","Muntenia","X1964.01.01",10.481972694397
"333","Bechet","Oltenia","X1964.01.01",11.1058082580566
"334","Mangalia","Dobrogea","X1964.01.01",10.9805755615234
"335","Giurgiu","Muntenia","X1964.01.01",10.9082736968994
"336","Calafat","Oltenia","X1964.01.01",11.1543836593628
"337","Alexandria","Muntenia","X1964.01.01",10.8487119674683
"338","Bailesti","Oltenia","X1964.01.01",11.0805206298828
"339","Caracal","Oltenia","X1964.01.01",10.5900278091431
"340","Rosiori de Vede","Muntenia","X1964.01.01",10.5986576080322
"341","Calarasi","Dobrogea","X1964.01.01",10.8426570892334
"342","Constanta","Dobrogea","X1964.01.01",10.9864931106567
"343","Craiova","Oltenia","X1964.01.01",10.2374792098999
"344","Medgidia","Dobrogea","X1964.01.01",10.6922187805176
"345","Videle","Muntenia","X1964.01.01",10.3794250488281
"346","Slatina","Oltenia","X1964.01.01",10.2893972396851
"347","Baneasa","Muntenia","X1964.01.01",10.5100545883179
"348","Slobozia","Dobrogea","X1964.01.01",10.6309862136841
"349","Stolnici","Muntenia","X1964.01.01",9.89200019836426
"350","Drobeta Turnu-Severin","Oltenia","X1964.01.01",10.9275894165039
"351","Titu","Muntenia","X1964.01.01",10.0115346908569
"352","Urziceni","Muntenia","X1964.01.01",10.5104379653931
"353","Moldova Veche","Banat-Crisana","X1964.01.01",10.7640552520752
"354","Dragasani","Oltenia","X1964.01.01",9.70175361633301
"355","Grivita","Dobrogea","X1964.01.01",10.5038633346558
"356","Jurilovca","Dobrogea","X1964.01.01",10.9837532043457
"357","Pitesti","Muntenia","X1964.01.01",9.57515048980713
"358","Tg. Logresti","Oltenia","X1964.01.01",9.68690395355225
"359","Sf. Gheorghe","Dobrogea","X1964.01.01",11.0858631134033
"360","Targoviste","Muntenia","X1964.01.01",9.52186298370361
"361","Ploiesti","Muntenia","X1964.01.01",10.0225477218628
"362","Moraresti","Muntenia","X1964.01.01",9.00720500946045
"363","Apa Neagra","Oltenia","X1964.01.01",9.95293140411377
